N	4gram	Tiupa_Hudo	Formalny
1	в то же время	7	20
2	бы то ни было	2	7
3	и в то же	2	6
4	с одной стороны и	1	5
5	в связи с этим	1	5
6	в химическом соединении с	1	4
7	не может быть и	1	4
8	в том числе и	2	3
9	но в то же	1	3
10	той мере в какой	1	2
11	с этой точки зрения	2	2
12	в той мере в	1	2
13	химическом соединении с художественной	1	2
14	в одной из своих	1	2
15	одним и тем же	1	2
16	иметь в виду что	1	2
17	мы имеем в виду	3	2
18	какой бы то ни	1	2
19	в том или ином	1	2
20	в их отношении к	1	1
21	в более или менее	1	1
22	каком мы говорим о	1	1
23	не что иное как	1	1
24	в том случае если	1	1
25	одно и то же	3	1
26	в этом смысле можно	1	1
27	как это происходит в	1	1
28	этом смысле можно говорить	1	1
29	в каком мы говорим	1	1
30	в том отношении что	1	1
31	по отношению к самому	1	1
32	и глубже чем это	1	1
33	смысле можно говорить о	1	1
34	языка не может быть	1	1
35	ни в коем случае	2	1
36	чего бы то ни	1	1
37	и по отношению к	1	1
38	соединении с художественной идеологемой	1	1
39	но в таком случае	1	1
40	в коем случае не	2	1
41	одного и того же	3	1
42	произведения искусства в его	1	1
43	того или иного жанра	3	1
44	а не только на	1	1
45	в отдельности и в	1	1
46	есть не что иное	1	1
