N	3gram	Nazirov_Tr	VrazhdaK
1	и все же	1	5
2	отцов и детей	1	4
3	то же время	5	4
4	в то же	5	4
5	в связи с	1	3
6	в том что	2	2
7	отцы и дети	2	2
8	не может быть	1	2
9	но в то	2	2
10	в году и	1	2
11	достоевский в бесах	2	2
12	в романе бесы	1	2
13	в году в	2	2
14	и даже некоторые	1	1
15	но при этом	1	1
16	мертвого дома и	1	1
17	а между тем	1	1
18	составляет самую суть	1	1
19	петра верховенского с	1	1
20	на ранней стадии	1	1
21	в конце концов	1	1
22	преступлении и наказании	2	1
23	в это же	1	1
24	петра верховенского в	1	1
25	это не просто	1	1
26	в той же	1	1
27	в период создания	1	1
28	точно так же	2	1
29	что в ней	1	1
30	это же время	1	1
31	по нашему мнению	1	1
32	записках из подполья	1	1
33	же время с	1	1
34	но как в	1	1
35	сравняться с ним	1	1
36	романа отцы и	1	1
37	и то что	1	1
38	не только не	1	1
39	о том что	2	1
40	в декабре года	1	1
41	роману отцы и	1	1
42	уже в году	1	1
43	в высшей степени	1	1
44	из мертвого дома	2	1
45	то что достоевский	1	1
46	во всяком случае	1	1
47	тем не менее	1	1
48	и в самом	2	1
49	он сказал что	1	1
50	именно в связи	1	1
51	в третий раз	1	1
52	и стал смотреть	1	1
53	я очень хорошо	1	1
54	у себя на	1	1
55	это и есть	1	1
56	все же не	1	1
57	в преступлении и	2	1
58	роман достоевского и	1	1
59	по сей день	2	1
60	ему в лицо	1	1
61	и не может	1	1
62	и в этом	1	1
