1	по отношению к	2	11
2	в том что	2	4
3	то же самое	1	2
4	с одной стороны	1	2
5	в настоящее время	1	2
6	истории литературы и	1	1
7	в том и	1	1
8	и в этом	1	1
9	в противном случае	1	1
10	в конечном счете	1	1
11	отношению к которому	1	1
12	по самому существу	1	1
13	по крайней мере	1	1
14	во всяком случае	1	1
15	только то что	1	1
16	в то же	1	1
17	сама по себе	1	1
18	они ни были	1	1
19	социологический метод в	2	1
20	в свои права	1	1
21	вступает в свои	1	1
22	то же время	1	1
23	бы они ни	1	1
24	развитие по природе	1	1
25	в процессе живого	1	1
26	не должна быть	1	1
27	ровно ничего не	1	1
28	эволюционное развитие по	1	1
29	в лучшем случае	1	1
30	а между тем	1	1
