N	3gram	Medvedev_U	Russkaja
1	друг с другом	1	14
2	то же время	3	10
3	в то же	3	10
4	в том что	2	7
5	а между тем	2	5
6	до сих пор	2	5
7	не может быть	4	4
8	на то что	1	4
9	более или менее	1	4
10	бы то ни	3	4
11	в конце концов	2	3
12	в данном случае	1	3
13	в этом случае	1	3
14	и то что	2	3
15	в значительной мере	1	2
16	не только к	1	2
17	быть не может	1	1
18	этого и в	1	1
19	в противном случае	2	1
20	в самом деле	2	1
21	говорить не о	1	1
22	и в частности	2	1
23	но по существу	1	1
24	по себе еще	1	1
25	но в то	1	1
26	тех или иных	2	1
27	и прежде всего	1	1
28	с другом не	1	1
29	по крайней мере	2	1
30	но это же	1	1
31	то ни было	3	1
32	на первый взгляд	1	1
33	тем что он	1	1
34	то же самое	2	1
35	это то же	1	1
36	в этом отношении	2	1
37	и не только	1	1
38	только в этом	1	1
39	приходится признать что	1	1
40	но даже и	2	1
