1	в этом отношении	1	14
2	не может быть	3	8
3	в том что	1	5
4	в конечном счете	2	5
5	можно сказать что	3	4
6	в связи с	1	4
7	не могут быть	2	4
8	вместе с тем	1	4
9	для того чтобы	1	3
10	о том что	2	3
11	подобно тому как	1	3
12	это и есть	1	3
13	в основных чертах	1	3
14	как это делает	1	3
15	мы знаем что	1	2
16	по крайней мере	3	2
17	в этом и	1	2
18	и художественного творчества	3	2
19	до сих пор	3	2
20	этой точки зрения	1	2
21	с одной стороны	1	2
22	во всяком случае	3	2
23	нет никаких оснований	2	2
24	во всех его	2	2
25	можно было бы	1	2
26	можно определить как	2	2
27	той или иной	1	1
28	может быть даже	1	1
29	быть сведены все	1	1
30	вспомним хотя бы	1	1
31	по аналогии с	2	1
32	а вместе с	1	1
33	мы полагаем что	3	1
34	на язык сознания	1	1
35	во время сна	1	1
36	в данном случае	1	1
37	бы он был	1	1
38	в самом деле	2	1
39	между собою в	1	1
40	а потому и	2	1
41	и может быть	2	1
42	что в них	1	1
43	таким образом и	1	1
44	не чем иным	1	1
45	как это было	1	1
46	художественного творчества и	1	1
47	еще в году	1	1
48	так же как	2	1
49	так называемое бессознательное	1	1
50	все то что	2	1
51	со всех сторон	1	1
52	как один из	1	1
53	по сравнению с	3	1
54	в этом смысле	3	1
55	имеем дело с	1	1
56	имеем в виду	1	1
57	же как и	1	1
58	жизнь в его	1	1
59	по его мнению	1	1
60	в том смысле	1	1
61	может быть при	1	1
62	том что мы	1	1
63	очень близко к	1	1
64	но вместе с	1	1
65	но даже и	1	1
66	в этом нет	1	1
67	и не должна	1	1
68	если бы он	1	1
69	то же самое	1	1
70	в каком направлении	1	1
71	с этой точки	1	1
72	и др но	1	1
73	и ту же	1	1
74	одну и ту	1	1
75	в применении к	1	1
76	как мы знаем	1	1
77	и др и	1	1
78	чем иным как	1	1
79	сознательное и бессознательное	2	1
80	его не интересует	1	1
81	для него чисто	1	1
82	фрейд и его	3	1
