1	не может быть	2	22
2	тем не менее	1	11
3	по крайней мере	1	10
4	в том что	2	9
5	на то что	1	7
6	с точки зрения	2	6
7	и то что	1	5
8	и то же	1	5
9	одно и то	1	5
10	в то же	4	5
11	в свою очередь	1	5
12	в то время	1	4
13	не только не	1	4
14	о том что	1	4
15	о том как	1	4
16	равно как и	1	4
17	это и есть	1	4
18	то же время	4	4
19	все же не	1	3
20	и в то	1	3
21	что в ней	1	3
22	заключается в том	1	3
23	с другой стороны	1	3
24	всего то что	1	2
25	в этом смысле	1	2
26	и в этом	1	2
27	как раз в	2	2
28	во всяком случае	1	2
29	в этом отношении	1	2
30	то что я	1	2
31	так же как	1	2
32	в конце концов	1	2
33	или по крайней	1	2
34	а следовательно и	1	2
35	речь идет о	1	1
36	до сих пор	1	1
37	и не может	1	1
38	и все же	5	1
39	независимо от того	1	1
40	еще не знали	1	1
41	с тех пор	1	1
42	имеется в виду	1	1
43	между прочим и	1	1
44	ничего общего ни	1	1
45	да и в	1	1
46	не знали что	1	1
47	но в то	2	1
48	не было бы	1	1
49	– одна из	1	1
50	общего ни с	1	1
51	в связи с	3	1
52	на первый план	1	1
53	и что он	1	1
54	и в котором	1	1
55	быть и речи	1	1
56	но в этом	1	1
57	во внимание в	1	1
58	этого действительно можно	1	1
59	он и не	1	1
60	в той же	1	1
61	может быть и	1	1
62	не вдаваясь в	1	1
63	что они не	1	1
64	я не знаю	1	1
65	далеко не все	1	1
66	ее и в	1	1
67	и во всей	1	1
68	что у него	1	1
69	и в самом	1	1
