N	4gram	Losev_Vesc	EvropaiC
1	заключается в том что	2	3
2	бы то ни было	12	3
3	о которых идет речь	1	3
4	одного и того же	1	3
5	в то же время	4	2
6	мы уже сказали что	1	1
7	с этой точки зрения	3	1
8	в то время как	4	1
9	стоит в связи с	1	1
10	друг с другом они	1	1
11	ни то ни другое	1	1
12	в том что он	2	1
13	и более или менее	1	1
14	одно и то же	5	1
15	одно из двух или	1	1
16	каких бы то ни	1	1
17	из того что в	1	1
18	дело в том что	4	1
19	не может не быть	1	1
20	а в том что	1	1
21	одному и тому же	1	1
22	связанных друг с другом	1	1
23	что указывало бы на	1	1
24	не есть ли это	1	1
25	указание на то что	1	1
26	а и в в	1	1
27	всех своих частей и	1	1
28	то время как другие	1	1
29	также и то что	1	1
