1	в то же время	20	1
2	и какие в частности	1	1
3	композиция жанр поэтическая тематика	1	1
4	тематика художественный стиль в	1	1
5	образ ритм композиция жанр	1	1
6	ныне так называемым формальным	1	1
7	это предварительно изучается имманентно	1	1
8	и лингвистику и какие	1	1
9	выработала теоретическая поэтика опираясь	1	1
10	тех методов какие выработала	1	1
11	методом по существу это	1	1
12	ценная часть нашей работы	1	1
13	практикуются ныне так называемым	1	1
14	и в то же	6	1
15	поэтической формы звук слово	1	1
16	не в том что	2	1
17	какие выработала теоретическая поэтика	1	1
18	опираясь на психологию эстетику	1	1
19	так называемым формальным методом	1	1
20	теоретическая поэтика опираясь на	1	1
21	поэтика опираясь на психологию	1	1
22	в том что это	1	1
23	в том и заключается	1	1
24	психологию эстетику и лингвистику	1	1
25	в частности практикуются ныне	1	1
26	с помощью тех методов	1	1
27	том и заключается что	1	1
28	формы звук слово образ	1	1
29	по существу это наиболее	1	1
30	эстетику и лингвистику и	1	1
31	изучается имманентно с помощью	1	1
32	называемым формальным методом по	1	1
33	дело не в том	1	1
34	существу это наиболее ценная	1	1
35	частности практикуются ныне так	1	1
36	формальным методом по существу	1	1
37	предварительно изучается имманентно с	1	1
38	элементы поэтической формы звук	1	1
39	не выходит за пределы	2	1
40	методов какие выработала теоретическая	1	1
41	наиболее ценная часть нашей	1	1
42	художественный стиль в целом	1	1
43	это наиболее ценная часть	1	1
44	имманентно с помощью тех	1	1
45	ритм композиция жанр поэтическая	1	1
46	помощью тех методов какие	1	1
47	на психологию эстетику и	1	1
48	все это предварительно изучается	1	1
49	звук слово образ ритм	1	1
50	стиль в целом все	1	1
51	какие в частности практикуются	1	1
52	жанр поэтическая тематика художественный	1	1
53	поэтическая тематика художественный стиль	1	1
54	именно в том и	1	1
55	в целом все это	1	1
56	лингвистику и какие в	1	1
57	целом все это предварительно	1	1
58	слово образ ритм композиция	1	1
