1	в том что	1	8
2	с одной стороны	2	7
3	в том числе	1	6
4	о том что	1	6
5	в отличие от	1	5
6	не может быть	4	5
7	и не в	1	4
8	с другой стороны	2	4
9	том числе и	1	4
10	можно было бы	1	2
11	подобно тому как	3	2
12	и в будущем	1	2
13	не только в	1	2
14	а не в	1	2
15	сами по себе	1	2
16	нет у него	1	2
17	в известном смысле	1	2
18	в значительной степени	1	2
19	так же как	2	2
20	более не будет	1	1
21	одного и того	1	1
22	как и в	1	1
23	то что он	1	1
24	в нем не	1	1
25	к одному из	1	1
26	а не с	1	1
27	до сих пор	1	1
28	без обращения к	1	1
29	и того же	1	1
30	по своей природе	1	1
31	прежде всего они	1	1
32	истории в том	1	1
33	есть прежде всего	1	1
34	мы переходим от	1	1
35	что в этом	1	1
36	должна быть признана	1	1
37	в том чтобы	1	1
38	истории но и	1	1
39	никогда не было	2	1
40	культура нового времени	1	1
41	же как и	1	1
42	как это было	1	1
43	истории в этом	1	1
44	только потому что	1	1
45	может быть только	1	1
46	в этой системе	1	1
47	он не может	2	1
48	не было и	1	1
49	в этом смысле	2	1
