N	4gram	Bakhtin_Pr	Hudozhes
1	в то же время	3	7
2	ни в коем случае	2	2
3	бы то ни было	2	2
4	в коем случае не	2	2
5	как совокупность факторов художественного	1	2
6	совокупность факторов художественного впечатления	1	2
7	и в то же	2	2
8	бы они ни были	1	1
9	эстетическое вполне осуществляет себя	1	1
10	по отношению к которому	1	1
11	осуществляет себя только в	1	1
12	иметь в виду что	1	1
13	не что иное как	1	1
14	созерцания направленной на произведение	1	1
15	конститутивный момент художественной формы	2	1
16	с одной стороны и	1	1
17	по отношению к нему	1	1
18	вполне осуществляет себя только	1	1
19	автор-творец конститутивный момент художественной	1	1
20	но в то же	1	1
21	позицию по отношению к	3	1
22	себя только в искусстве	1	1
23	как бы вбирает в	1	1
24	мы имеем дело с	1	1
25	содержание эстетической деятельности созерцания	1	1
26	деятельности созерцания направленной на	1	1
27	ни к чему не	1	1
28	эстетической деятельности созерцания направленной	1	1
29	бы вбирает в себя	1	1
30	чего бы то ни	1	1
31	есть не что иное	1	1
