1	в том что	4	16
2	до сих пор	3	15
3	по отношению к	11	11
4	более или менее	1	8
5	с точки зрения	2	8
6	а между тем	1	8
7	на самом деле	2	7
8	в самом деле	1	5
9	сих пор не	1	5
10	к тому же	1	5
11	о том что	1	4
12	может быть и	3	4
13	тем не менее	3	4
14	не может быть	7	4
15	с другой стороны	2	4
16	в том же	1	3
17	все же не	1	3
18	в настоящее время	2	3
19	так же как	1	3
20	в данном случае	2	3
21	то ни было	3	3
22	бы то ни	3	3
23	в то время	1	2
24	том что все	1	2
25	в нашем случае	1	2
26	в высшей степени	1	2
27	во всяком случае	1	2
28	друг к другу	1	2
29	как и в	1	2
30	они должны быть	1	2
31	но все же	1	2
32	в то же	1	2
33	то же время	1	2
34	в том и	1	2
35	в свою очередь	1	2
36	с одной стороны	2	2
37	только то что	1	2
38	ничего общего с	1	2
39	что до сих	1	2
40	с большим трудом	1	1
41	и таким образом	1	1
42	одному и тому	1	1
43	жизни если бы	2	1
44	по крайней мере	1	1
45	с самого начала	1	1
46	нечто само собою	1	1
47	и в нем	1	1
48	еще не вполне	1	1
49	этой точки зрения	3	1
50	в этом направлении	1	1
51	каких бы то	1	1
52	того что именно	1	1
53	одно и то	2	1
54	то время как	1	1
55	это не так	2	1
56	само собою разумеющееся	1	1
57	между тем как	1	1
58	и то же	2	1
59	но для этого	1	1
60	таким образом мы	1	1
61	в лучшем случае	1	1
62	уже и сейчас	1	1
63	не находят себе	1	1
64	в зависимости от	2	1
65	таким образом для	1	1
66	о том кто	1	1
67	можно было бы	1	1
68	проч все эти	1	1
69	мы уже сказали	1	1
70	как нечто само	1	1
71	и не может	3	1
72	то что для	1	1
73	и тому же	1	1
74	деле это не	1	1
75	то же самое	2	1
76	то что мы	1	1
77	так и к	1	1
78	совершенно ясно что	1	1
79	с такою же	1	1
80	и проч все	1	1
81	дело в том	4	1
