1	в самом деле	1	2
2	в конце концов	2	2
3	по крайней мере	1	2
4	и в частности	1	2
5	в том что	2	2
6	расположению образов чем	1	1
7	образов чем к	1	1
8	работа поэтических школ	1	1
9	обработки словесных материалов	1	1
10	и обработки словесных	1	1
11	чем к созданию	1	1
12	выявлению новых приемов	1	1
13	приемов расположения и	1	1
14	словесных материалов и	1	1
15	сводится к накоплению	1	1
16	новых приемов расположения	1	1
17	к расположению образов	1	1
18	к созданию их	1	1
19	расположения и обработки	1	1
20	накоплению и выявлению	1	1
21	вся работа поэтических	1	1
22	материалов и в	1	1
23	в частности гораздо	1	1
24	и выявлению новых	1	1
25	к накоплению и	1	1
