N	3gram	Savitsky_P	Russkaja
1	друг с другом	1	14
2	о соединении церквей	1	11
3	то же время	7	10
4	в то же	7	10
5	с точки зрения	3	9
6	в том что	4	7
7	во всяком случае	1	6
8	для того чтобы	1	6
9	не может быть	1	4
10	к соединению церквей	1	4
11	более или менее	1	4
12	вместе с тем	1	3
13	с тем чтобы	1	3
14	и то что	1	3
15	и не может	1	3
16	в значительной мере	2	2
17	в большинстве случаев	1	2
18	и тем самым	1	2
19	ни к чему	1	2
20	в настоящее время	1	2
21	в борьбе с	1	1
22	и в частности	1	1
23	человека с богом	1	1
24	за то что	1	1
25	но в то	1	1
26	том числе и	1	1
27	так же как	1	1
28	во многих случаях	1	1
29	между тем при	1	1
30	в том виде	1	1
31	заключается в том	2	1
32	совершенно ясно что	1	1
33	заключает в себе	2	1
34	же время в	1	1
35	европейской культуры в	2	1
36	что с точки	1	1
37	в том числе	2	1
38	в применении к	1	1
39	и не только	2	1
40	интеллигенции и в	1	1
41	тем более что	1	1
42	сводится к стремлению	1	1
43	только в виде	1	1
44	тот или иной	1	1
45	или хотя бы	1	1
46	и в этом	1	1
47	в полной мере	2	1
