1	той мере в какой	2	6
2	в то же время	4	6
3	в той мере в	2	6
4	не что иное как	1	5
5	с одной стороны и	3	3
6	дело в том что	1	3
7	но в то же	1	3
8	одной и той же	1	2
9	состоит в том что	1	2
10	одно и то же	1	2
11	одного и того же	1	2
12	в том или ином	1	2
13	который тем не менее	1	1
14	тем не менее не	1	1
15	не в том как	1	1
16	не может быть вполне	1	1
17	дело не только в	1	1
18	в той или иной	1	1
19	сомневаться в том что	1	1
20	в науке о литературе	1	1
21	мы имеем дело с	4	1
22	обратим внимание на то	1	1
23	той или иной степени	1	1
24	если бы оно было	1	1
25	собой не что иное	1	1
26	в том смысле что	1	1
27	то же самое и	1	1
28	имеет дело не с	1	1
29	дело не с языком	1	1
30	в отличие от первых	1	1
31	в принципе не может	1	1
32	в далеком прошлом и	1	1
33	в этих случаях в	1	1
34	в значительной степени это	1	1
