N	3gram	Nazirov_Vr	SlovoVZh
1	не может быть	2	7
2	в том что	2	4
3	до сих пор	1	3
4	тем не менее	1	3
5	и не может	1	3
6	может быть и	1	3
7	одно и то	1	2
8	с другой стороны	1	2
9	и то же	1	2
10	с точки зрения	2	2
11	все же не	1	1
12	о том что	1	1
13	и уж конечно	1	1
14	в высшей степени	1	1
15	в свою очередь	1	1
16	не было такой	1	1
17	а между тем	1	1
18	в том же	1	1
19	в каком направлении	1	1
20	во всяком случае	1	1
21	в литературе и	1	1
22	между тем это	1	1
23	но в то	2	1
24	равно как и	1	1
25	то что я	1	1
26	в этом отношении	1	1
27	так же как	1	1
28	то же время	4	1
29	в то же	4	1
30	они как бы	1	1
31	и в этом	1	1
32	по крайней мере	1	1
33	в то время	1	1
34	в этом смысле	1	1
35	в русской литературе	3	1
36	к вопросу о	1	1
