1	у него в	1	5
2	в преступлении и	1	3
3	записках из подполья	1	3
4	преступлении и наказании	1	3
5	записки из мертвого	1	2
6	и в этом	1	2
7	достоевский прежде всего	1	2
8	и никогда не	1	2
9	не может быть	2	2
10	что у него	1	2
11	из мертвого дома	1	2
12	и то что	1	1
13	о достоевском и	1	1
14	прежде всего художник	1	1
15	преступление и наказание	1	1
16	из подполья но	1	1
17	в этот период	1	1
18	самим собой в	1	1
19	во всяком случае	1	1
20	не было такой	1	1
21	как бы в	1	1
22	но он подошел	1	1
23	и не может	1	1
24	в этом отношении	1	1
25	и все же	5	1
26	к творчеству достоевского	1	1
27	в самом достоевском	1	1
28	н к михайловского	1	1
29	преступления и наказания	1	1
30	он не только	2	1
31	о том что	1	1
32	и все что	1	1
33	в том что	2	1
34	то что достоевский	1	1
35	он и не	1	1
36	записки из подполья	1	1
37	о том как	1	1
38	и в самом	1	1
39	на то что	1	1
40	к михайловского жестокий	1	1
41	что это за	1	1
