N	3gram	Kanaev_Sov	Poddanst
1	то же время	1	7
2	в то же	1	7
3	в том что	1	4
4	сами по себе	1	3
5	с точки зрения	5	3
6	с одной стороны	1	3
7	заключает в себе	1	2
8	и в то	1	2
9	одной стороны и	1	2
10	что дело идет	1	1
11	не было бы	1	1
12	друг с другом	2	1
13	прежде всего мы	1	1
14	мы знаем что	1	1
15	не может быть	4	1
16	в отличие от	2	1
17	в этом смысле	1	1
18	уже в древней	1	1
19	и именно в	1	1
20	не более как	1	1
21	в которой расположены	1	1
22	во всяком случае	2	1
23	в известном смысле	1	1
24	и не может	1	1
25	не в том	1	1
26	в настоящее время	2	1
27	так же как	1	1
28	тот или иной	1	1
29	подчеркнуть что дело	1	1
30	и в этом	1	1
31	почва под ногами	1	1
