1	с точки зрения	2	6
2	по крайней мере	1	3
3	до сих пор	1	3
4	во всяком случае	1	3
5	не может быть	2	3
6	в этом смысле	1	3
7	так же как	1	2
8	и в этом	1	2
9	о том что	1	2
10	а с другой	1	1
11	в высшей степени	1	1
12	это и есть	1	1
13	не лучше ли	1	1
14	в этот момент	2	1
15	в году в	2	1
16	связи с этим	1	1
17	в каком направлении	1	1
18	на первый взгляд	1	1
19	во время сна	1	1
20	шаг за шагом	1	1
21	его отношение к	1	1
22	что в этой	1	1
23	в нашей статье	1	1
24	в этом отношении	1	1
25	то что я	1	1
26	все же в	1	1
27	говорить об их	1	1
28	и что он	1	1
29	но мы знаем	1	1
30	в том что	2	1
31	в связи с	3	1
32	на первый план	1	1
