1	в то же время	5	7
2	не следует смешивать с	1	3
3	имеем в виду не	1	3
4	одно и то же	1	3
5	и в то же	3	2
6	с этой точки зрения	1	2
7	приводит к тому что	2	2
8	в том числе и	2	2
9	в той или иной	1	2
10	следует иметь в виду	2	1
11	в одном и том	1	1
12	с одной стороны и	2	1
13	духовной жизни личности и	1	1
14	и по отношению к	1	1
15	в виду что в	1	1
16	по слову вяч иванова	1	1
17	как один из видов	1	1
18	в том случае если	1	1
19	есть в конечном счете	1	1
20	как это происходит в	1	1
21	мы имеем дело с	1	1
22	может быть определена как	1	1
23	в том отношении что	2	1
24	одном и том же	2	1
25	той или иной мере	1	1
26	но в то же	1	1
27	не может быть и	1	1
28	том или ином отношении	1	1
29	в том или ином	1	1
30	иметь в виду что	1	1
