N	4gram	Trubetskoy	EvropaiE
1	в то же время	10	14
2	бы то ни было	1	4
3	заключается в том что	1	2
4	но в то же	1	2
5	как бы то ни	1	1
6	существующих на земном шаре	1	1
7	но как бы ни	1	1
8	и то и другое	1	1
9	дело в том что	1	1
10	с точки зрения этих	1	1
11	в том случае если	3	1
12	в том числе и	1	1
13	и с точки зрения	1	1
14	одну и ту же	1	1
15	и прежде всего в	1	1
16	только в том случае	2	1
17	то же время в	1	1
18	во всех этих случаях	1	1
19	что во многих случаях	1	1
20	котором мы говорили в	1	1
21	и по сие время	1	1
22	несмотря на то что	1	1
23	одного и того же	1	1
24	о котором мы говорили	1	1
25	том случае если будет	1	1
